delta_t,threshold,cluster_id,best_t_days,mean_bmi,group_name
18,0.04100000000000001,6,70,20.703125,群组1
18,0.04200000000000001,0,154,44.343701177,群组7
18,0.04200000000000001,1,120,30.83436199041856,群组3
18,0.04200000000000001,2,131,35.10079343899152,群组5
18,0.04200000000000001,3,111,29.0050345231067,群组2
18,0.04200000000000001,4,113,32.88320441884776,群组4
18,0.04200000000000001,5,163,38.321496709430576,群组6
18,0.04200000000000001,6,70,20.703125,群组1
18,0.04300000000000001,0,155,44.343701177,群组7
18,0.04300000000000001,1,124,30.83436199041856,群组3
18,0.04300000000000001,2,134,35.10079343899152,群组5
18,0.04300000000000001,3,114,29.0050345231067,群组2
18,0.04300000000000001,4,116,32.88320441884776,群组4
18,0.04300000000000001,5,164,38.321496709430576,群组6
18,0.04300000000000001,6,71,20.703125,群组1
18,0.04400000000000001,0,156,44.343701177,群组7
18,0.04400000000000001,1,128,30.83436199041856,群组3
18,0.04400000000000001,2,138,35.10079343899152,群组5
18,0.04400000000000001,3,117,29.0050345231067,群组2
18,0.04400000000000001,4,119,32.88320441884776,群组4
18,0.04400000000000001,5,165,38.321496709430576,群组6
18,0.04400000000000001,6,72,20.703125,群组1
18,0.04500000000000001,0,157,44.343701177,群组7
18,0.04500000000000001,1,132,30.83436199041856,群组3
18,0.04500000000000001,2,141,35.10079343899152,群组5
18,0.04500000000000001,3,120,29.0050345231067,群组2
18,0.04500000000000001,4,124,32.88320441884776,群组4
18,0.04500000000000001,5,166,38.321496709430576,群组6
18,0.04500000000000001,6,74,20.703125,群组1
20,0.035,0,117,44.343701177,群组7
20,0.035,1,107,30.83436199041856,群组3
20,0.035,2,115,35.10079343899152,群组5
20,0.035,3,99,29.0050345231067,群组2
20,0.035,4,101,32.88320441884776,群组4
20,0.035,5,156,38.321496709430576,群组6
20,0.035,6,70,20.703125,群组1
20,0.036000000000000004,0,121,44.343701177,群组7
20,0.036000000000000004,1,109,30.83436199041856,群组3
20,0.036000000000000004,2,118,35.10079343899152,群组5
20,0.036000000000000004,3,102,29.0050345231067,群组2
20,0.036000000000000004,4,103,32.88320441884776,群组4
20,0.036000000000000004,5,158,38.321496709430576,群组6
20,0.036000000000000004,6,70,20.703125,群组1
20,0.037000000000000005,0,126,44.343701177,群组7
20,0.037000000000000005,1,112,30.83436199041856,群组3
20,0.037000000000000005,2,120,35.10079343899152,群组5
20,0.037000000000000005,3,104,29.0050345231067,群组2
20,0.037000000000000005,4,106,32.88320441884776,群组4
20,0.037000000000000005,5,159,38.321496709430576,群组6
20,0.037000000000000005,6,70,20.703125,群组1
20,0.038000000000000006,0,152,44.343701177,群组7
20,0.038000000000000006,1,115,30.83436199041856,群组3
20,0.038000000000000006,2,123,35.10079343899152,群组5
20,0.038000000000000006,3,107,29.0050345231067,群组2
20,0.038000000000000006,4,108,32.88320441884776,群组4
20,0.038000000000000006,5,160,38.321496709430576,群组6
20,0.038000000000000006,6,70,20.703125,群组1
20,0.03900000000000001,0,154,44.343701177,群组7
20,0.03900000000000001,1,118,30.83436199041856,群组3
20,0.03900000000000001,2,126,35.10079343899152,群组5
20,0.03900000000000001,3,109,29.0050345231067,群组2
20,0.03900000000000001,4,111,32.88320441884776,群组4
20,0.03900000000000001,5,161,38.321496709430576,群组6
20,0.03900000000000001,6,70,20.703125,群组1
20,0.04000000000000001,0,155,44.343701177,群组7
20,0.04000000000000001,1,121,30.83436199041856,群组3
20,0.04000000000000001,2,129,35.10079343899152,群组5
20,0.04000000000000001,3,112,29.0050345231067,群组2
20,0.04000000000000001,4,114,32.88320441884776,群组4
20,0.04000000000000001,5,162,38.321496709430576,群组6
20,0.04000000000000001,6,70,20.703125,群组1
20,0.04100000000000001,0,156,44.343701177,群组7
20,0.04100000000000001,1,124,30.83436199041856,群组3
20,0.04100000000000001,2,133,35.10079343899152,群组5
20,0.04100000000000001,3,114,29.0050345231067,群组2
20,0.04100000000000001,4,118,32.88320441884776,群组4
20,0.04100000000000001,5,163,38.321496709430576,群组6
20,0.04100000000000001,6,70,20.703125,群组1
20,0.04200000000000001,0,157,44.343701177,群组7
20,0.04200000000000001,1,128,30.83436199041856,群组3
20,0.04200000000000001,2,136,35.10079343899152,群组5
20,0.04200000000000001,3,117,29.0050345231067,群组2
20,0.04200000000000001,4,121,32.88320441884776,群组4
20,0.04200000000000001,5,164,38.321496709430576,群组6
20,0.04200000000000001,6,70,20.703125,群组1
20,0.04300000000000001,0,158,44.343701177,群组7
20,0.04300000000000001,1,132,30.83436199041856,群组3
20,0.04300000000000001,2,139,35.10079343899152,群组5
20,0.04300000000000001,3,120,29.0050345231067,群组2
20,0.04300000000000001,4,126,32.88320441884776,群组4
20,0.04300000000000001,5,165,38.321496709430576,群组6
20,0.04300000000000001,6,71,20.703125,群组1
20,0.04400000000000001,0,159,44.343701177,群组7
20,0.04400000000000001,1,136,30.83436199041856,群组3
20,0.04400000000000001,2,142,35.10079343899152,群组5
20,0.04400000000000001,3,123,29.0050345231067,群组2
20,0.04400000000000001,4,131,32.88320441884776,群组4
20,0.04400000000000001,5,166,38.321496709430576,群组6
20,0.04400000000000001,6,73,20.703125,群组1
20,0.04500000000000001,0,160,44.343701177,群组7
20,0.04500000000000001,1,140,30.83436199041856,群组3
20,0.04500000000000001,2,145,35.10079343899152,群组5
20,0.04500000000000001,3,126,29.0050345231067,群组2
20,0.04500000000000001,4,138,32.88320441884776,群组4
20,0.04500000000000001,5,167,38.321496709430576,群组6
20,0.04500000000000001,6,74,20.703125,群组1
22,0.035,0,152,44.343701177,群组7
22,0.035,1,112,30.83436199041856,群组3
22,0.035,2,119,35.10079343899152,群组5
22,0.035,3,104,29.0050345231067,群组2
22,0.035,4,106,32.88320441884776,群组4
22,0.035,5,158,38.321496709430576,群组6
22,0.035,6,70,20.703125,群组1
22,0.036000000000000004,0,154,44.343701177,群组7
22,0.036000000000000004,1,115,30.83436199041856,群组3
22,0.036000000000000004,2,122,35.10079343899152,群组5
22,0.036000000000000004,3,106,29.0050345231067,群组2
22,0.036000000000000004,4,109,32.88320441884776,群组4
22,0.036000000000000004,5,159,38.321496709430576,群组6
22,0.036000000000000004,6,70,20.703125,群组1
22,0.037000000000000005,0,155,44.343701177,群组7
22,0.037000000000000005,1,118,30.83436199041856,群组3
22,0.037000000000000005,2,125,35.10079343899152,群组5
22,0.037000000000000005,3,109,29.0050345231067,群组2
22,0.037000000000000005,4,112,32.88320441884776,群组4
22,0.037000000000000005,5,160,38.321496709430576,群组6
22,0.037000000000000005,6,70,20.703125,群组1
22,0.038000000000000006,0,156,44.343701177,群组7
22,0.038000000000000006,1,121,30.83436199041856,群组3
22,0.038000000000000006,2,128,35.10079343899152,群组5
22,0.038000000000000006,3,111,29.0050345231067,群组2
22,0.038000000000000006,4,115,32.88320441884776,群组4
22,0.038000000000000006,5,161,38.321496709430576,群组6
22,0.038000000000000006,6,70,20.703125,群组1
22,0.03900000000000001,0,157,44.343701177,群组7
22,0.03900000000000001,1,124,30.83436199041856,群组3
22,0.03900000000000001,2,131,35.10079343899152,群组5
22,0.03900000000000001,3,114,29.0050345231067,群组2
22,0.03900000000000001,4,118,32.88320441884776,群组4
22,0.03900000000000001,5,162,38.321496709430576,群组6
22,0.03900000000000001,6,70,20.703125,群组1
22,0.04000000000000001,0,158,44.343701177,群组7
22,0.04000000000000001,1,127,30.83436199041856,群组3
22,0.04000000000000001,2,134,35.10079343899152,群组5
22,0.04000000000000001,3,116,29.0050345231067,群组2
22,0.04000000000000001,4,121,32.88320441884776,群组4
22,0.04000000000000001,5,163,38.321496709430576,群组6
22,0.04000000000000001,6,70,20.703125,群组1
22,0.04100000000000001,0,159,44.343701177,群组7
22,0.04100000000000001,1,131,30.83436199041856,群组3
22,0.04100000000000001,2,137,35.10079343899152,群组5
22,0.04100000000000001,3,119,29.0050345231067,群组2
22,0.04100000000000001,4,126,32.88320441884776,群组4
22,0.04100000000000001,5,164,38.321496709430576,群组6
22,0.04100000000000001,6,70,20.703125,群组1
22,0.04200000000000001,0,159,44.343701177,群组7
22,0.04200000000000001,1,134,30.83436199041856,群组3
22,0.04200000000000001,2,140,35.10079343899152,群组5
22,0.04200000000000001,3,122,29.0050345231067,群组2
22,0.04200000000000001,4,130,32.88320441884776,群组4
22,0.04200000000000001,5,165,38.321496709430576,群组6
22,0.04200000000000001,6,70,20.703125,群组1
22,0.04300000000000001,0,160,44.343701177,群组7
22,0.04300000000000001,1,138,30.83436199041856,群组3
22,0.04300000000000001,2,143,35.10079343899152,群组5
22,0.04300000000000001,3,125,29.0050345231067,群组2
